ss_venue_id,name,url,year,volume
1f660445-ef9f-4d26-82de-0c5bc32cb009,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,2002,1
cb66020e-b9e1-4ff6-a26f-02fca5b10d1d,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,1994,2
df9a8411-ebab-41ca-b55c-97580d0f3fc4,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,1983,3
a30f691d-e14d-4a6f-95dc-e65fd2f9ac65,Biological Psychiatry,http://www.elsevier.com/locate/biopsychiat,2008,1
50c80a9e-0782-4ffc-8db5-94f3d9a99549,Biological Psychiatry,http://www.elsevier.com/locate/biopsychiat,1993,2
6b5058f6-ac40-4f20-ba9f-667818bb37f4,Biological Psychiatry,http://www.elsevier.com/locate/biopsychiat,1997,3
dc3c2d84-fadf-4ca7-b3ef-0f9c06963856,Biological Psychiatry,http://www.elsevier.com/locate/biopsychiat,2017,4
8147d924-8423-42c1-9d28-d778ab13834b,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,2009,1
132eefc3-5d14-4ab6-87d9-f0f30ae7514c,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,1975,2
ba42b9cf-df98-459d-897d-3ba5d6c48427,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,1976,3
db20f82f-6b21-4d91-858e-128b71e3945f,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,1989,4
b2a6f1af-9599-477c-a763-65abb8c97f31,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,2023,5
23ea1e0e-8c12-4f86-b41e-324fa903199a,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,2023,6
13ffe49f-74b4-43e6-a5f5-760a19181c3a,IEEE Journal on Selected Areas in Communications,http://www.comsoc.org/jsac/,2013,7
cd9269b9-26ab-4684-ae9f-3a31db85214e,Electronics,http://www.electronics.etfbl.net/,2001,1
b3387394-4ff8-43ed-917c-baba408ab9ad,Electronics,http://www.electronics.etfbl.net/,1999,2
d86f7ab5-522c-46d9-890d-5d69abdbe8a3,Electronics,http://www.electronics.etfbl.net/,2007,3
1178f68a-3e54-43a1-b5ad-c2a95d82b014,Electronics,http://www.electronics.etfbl.net/,2021,4
c3616762-7401-4b3b-8fa0-5415cbaac9cf,Clinical EEG and Neuroscience,http://www.ecnsweb.com/ce_clinicaleeg.htm,1971,1
90ea2e0f-7dbd-469d-a32e-5426b7322a23,Clinical EEG and Neuroscience,http://www.ecnsweb.com/ce_clinicaleeg.htm,1989,2
