paperId,referenceId,year
00040bdd447f041a50ae95fd51926cf435ef1eba,00a653b045e7df3e93de9dc3cb0a186024ad1df0,2021
00040bdd447f041a50ae95fd51926cf435ef1eba,00656f8d0bef8ec30a14212dbea3f394a7112e94,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,011341dc87edea1fdc9aafe7020e8896fb9672b8,2021
00040bdd447f041a50ae95fd51926cf435ef1eba,001533bcbe30802b9a37d8f9f22a083ccef516b4,2024
00040bdd447f041a50ae95fd51926cf435ef1eba,00b9b9bf5b07d6af71bef29c48a35b948cc12255,2019
00040bdd447f041a50ae95fd51926cf435ef1eba,0038c3c38fd975d3373d63e76b7db5d2c7bf94bf,2024
00040bdd447f041a50ae95fd51926cf435ef1eba,013fc96537baedea3e397d057be8404aa93d5299,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00c53bf5f1a48b64ee809cad8acc933d43234b9c,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,01458da3d3902e6ccd4b8af92cd22553596da923,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00bb7f29057d30892f84cc01a96301b688fcdef8,2019
00040bdd447f041a50ae95fd51926cf435ef1eba,00bc00b24b901559bb1cad66c4bf354808b1d923,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,0067258937f69e4cc4371a924134189074be8d93,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,00c53bf5f1a48b64ee809cad8acc933d43234b9c,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,00cb8781b1c991659b9ba6e525eaadf13fe8f359,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,0082dd304daa17951de672ecfbc17175da4c320e,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,007098d098b83163f76d17b75fb47f2eec43fd2d,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,0055ac14fb41047107186e9174b2369e89f126b9,2019
00040bdd447f041a50ae95fd51926cf435ef1eba,00433ea2a6d853403019b8b165030bacde9f20d3,2021
00040bdd447f041a50ae95fd51926cf435ef1eba,005783454d128bc45ab86000efc78d5676ece1b1,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,002df72c36a270cc824897f6e5f88edf70fb1f61,2021
00040bdd447f041a50ae95fd51926cf435ef1eba,01195a0ceb2ca420405c96ebcabc7718c1e78ac8,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00cdd54e6cc5cb616df26a32d8e709b67de52739,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00dc5c4cb64d6bd66ba091b2bdbd7baa189a3ced,2022
00040bdd447f041a50ae95fd51926cf435ef1eba,0039e77f1a6de8f375b9c57417201957471ea121,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,009eb31338512d9ca6ffde4062f0443f94b61fd1,2022
00040bdd447f041a50ae95fd51926cf435ef1eba,0101bef3602965eb124803564e37141cff2333ea,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,0075dfdbd25dce1fd545d2ece39476a3a6dee5da,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00d669ea812b93429bb59d00e3cbedee42d4efb1,2019
00040bdd447f041a50ae95fd51926cf435ef1eba,007617660cc0d33741a6b6603da6a1844714cbdf,2024
00040bdd447f041a50ae95fd51926cf435ef1eba,00e34b7351b6f7104218a7a09ee22aedcc927d4b,2024
00040bdd447f041a50ae95fd51926cf435ef1eba,00735bf6a1ad14a343650e7a4b6661eda04ddd60,2019
00040bdd447f041a50ae95fd51926cf435ef1eba,00c5cf4399df8efa1179915c36088a99eb26f281,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,0000d36f99f61d6768e7c21c46ce4350b41a6a89,2022
00040bdd447f041a50ae95fd51926cf435ef1eba,00cb8781b1c991659b9ba6e525eaadf13fe8f359,2019
00040bdd447f041a50ae95fd51926cf435ef1eba,01195a0ceb2ca420405c96ebcabc7718c1e78ac8,2021
00040bdd447f041a50ae95fd51926cf435ef1eba,00a653b045e7df3e93de9dc3cb0a186024ad1df0,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,00e7411e4c52e499e01bde5072eb07940d162ad7,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,005b716759daadb580b472602f6167559aadc9c5,2022
00040bdd447f041a50ae95fd51926cf435ef1eba,005f0f6d796e1856b373e2116bdbffa719d12fbd,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,01458da3d3902e6ccd4b8af92cd22553596da923,2019
00040bdd447f041a50ae95fd51926cf435ef1eba,01135d952acc731742fd20b9b2d4915c4c169950,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00735bf6a1ad14a343650e7a4b6661eda04ddd60,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00c92bd26958dbc085eb4bbc72aa3d34f92e32c7,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00cdd54e6cc5cb616df26a32d8e709b67de52739,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00c5cf4399df8efa1179915c36088a99eb26f281,2024
00040bdd447f041a50ae95fd51926cf435ef1eba,008f51c5a995cf3d19bdcf2c7bb01648774daafb,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,00b0779034bc13da8f4eb18ed3d0c3466d759b91,2020
00040bdd447f041a50ae95fd51926cf435ef1eba,000bc721cefe3f2ba2425e8b95b042dc1e9778f9,2022
00040bdd447f041a50ae95fd51926cf435ef1eba,00bcec142c7d49ba269f65ba1463e2e226fdf545,2023
00040bdd447f041a50ae95fd51926cf435ef1eba,00e65d86d2b4600508d3f76a940da7a36cee04a9,2021
0007cd4870abff3c79537a4722d2f6365eb5468f,0027a5389929596cc4bd1d645104cd7d88588509,2022
0007cd4870abff3c79537a4722d2f6365eb5468f,00c2b76966cc18c09e865cf827fb4c7a3d294a6c,2024
0007cd4870abff3c79537a4722d2f6365eb5468f,00c2b76966cc18c09e865cf827fb4c7a3d294a6c,2020
0007cd4870abff3c79537a4722d2f6365eb5468f,00b3fc061b3600b9508480022556c9a76494dba4,2023
0007cd4870abff3c79537a4722d2f6365eb5468f,007f1a6d948cfc4cd838131ab18fac51b01f5275,2022
0007cd4870abff3c79537a4722d2f6365eb5468f,00cdd54e6cc5cb616df26a32d8e709b67de52739,2022
0007cd4870abff3c79537a4722d2f6365eb5468f,01383cf064a9963054b5416c04cc421100656892,2023
0007cd4870abff3c79537a4722d2f6365eb5468f,00e2b0f9bcdfa52fbf68a959f9daa8a5ba23bba8,2023
0007cd4870abff3c79537a4722d2f6365eb5468f,006bf046e6c27d882bae79688004c4c4f4781a0f,2022
0007cd4870abff3c79537a4722d2f6365eb5468f,00c53bf5f1a48b64ee809cad8acc933d43234b9c,2023
0007cd4870abff3c79537a4722d2f6365eb5468f,0019b23a39d2268d967292b158b9e723d7c5eb58,2022
0007cd4870abff3c79537a4722d2f6365eb5468f,001533bcbe30802b9a37d8f9f22a083ccef516b4,2020
