review_id,author_id
bccc6db7-e6f5-4772-8b28-c1fccfa6deb4,2096503
bccc6db7-e6f5-4772-8b28-c1fccfa6deb4,145688317
bccc6db7-e6f5-4772-8b28-c1fccfa6deb4,3113695
5b0779ce-28c5-4210-b714-00483cae96dd,2068611376
5b0779ce-28c5-4210-b714-00483cae96dd,152169856
5b0779ce-28c5-4210-b714-00483cae96dd,144474086
5b0779ce-28c5-4210-b714-00483cae96dd,1410440899
5b0779ce-28c5-4210-b714-00483cae96dd,2292166946
521b1978-5195-4cc3-9421-a8121b93c38b,73771362
521b1978-5195-4cc3-9421-a8121b93c38b,2061506769
521b1978-5195-4cc3-9421-a8121b93c38b,4713365
2175efd2-6928-4760-801d-299ced50bf0a,2157394918
2175efd2-6928-4760-801d-299ced50bf0a,2996101
2175efd2-6928-4760-801d-299ced50bf0a,46610789
2175efd2-6928-4760-801d-299ced50bf0a,2115772042
2175efd2-6928-4760-801d-299ced50bf0a,2487706
b5170bcc-6461-4d66-a487-c14420b71e28,1840964
b5170bcc-6461-4d66-a487-c14420b71e28,144395551
b5170bcc-6461-4d66-a487-c14420b71e28,120023248
ffa9e20d-d239-4d8c-a462-a539ad996dce,40329126
ffa9e20d-d239-4d8c-a462-a539ad996dce,144474086
ffa9e20d-d239-4d8c-a462-a539ad996dce,2156211656
ffa9e20d-d239-4d8c-a462-a539ad996dce,73774023
b601613f-13e3-438a-b87b-5006309e8f16,2242129
b601613f-13e3-438a-b87b-5006309e8f16,145298798
b601613f-13e3-438a-b87b-5006309e8f16,49170958
b601613f-13e3-438a-b87b-5006309e8f16,1716140
b601613f-13e3-438a-b87b-5006309e8f16,1410445592
61eb76a7-d347-4e57-85f5-9edb2758776d,4713365
61eb76a7-d347-4e57-85f5-9edb2758776d,144474086
61eb76a7-d347-4e57-85f5-9edb2758776d,1410415538
61eb76a7-d347-4e57-85f5-9edb2758776d,2156211656
aab91208-2209-422a-9eb5-77eebc5bbf1f,1988489309
aab91208-2209-422a-9eb5-77eebc5bbf1f,2242129
aab91208-2209-422a-9eb5-77eebc5bbf1f,6663691
aab91208-2209-422a-9eb5-77eebc5bbf1f,2156211656
aab91208-2209-422a-9eb5-77eebc5bbf1f,2096503
e516c589-5055-4b8e-b760-ee4954fa3c36,2115772042
e516c589-5055-4b8e-b760-ee4954fa3c36,28354393
e516c589-5055-4b8e-b760-ee4954fa3c36,1988489309
e516c589-5055-4b8e-b760-ee4954fa3c36,152169856
b76993f9-b4d2-4b6a-ab82-0918d122d985,2115772042
b76993f9-b4d2-4b6a-ab82-0918d122d985,2225845486
b76993f9-b4d2-4b6a-ab82-0918d122d985,120023248
92b4214d-e5ca-4f32-8668-1d37b8b503bf,10939631
92b4214d-e5ca-4f32-8668-1d37b8b503bf,1728262
92b4214d-e5ca-4f32-8668-1d37b8b503bf,46610789
92b4214d-e5ca-4f32-8668-1d37b8b503bf,46182701
92b4214d-e5ca-4f32-8668-1d37b8b503bf,2825246
1e42b3c6-e824-45af-8bf5-ec7671b5349d,2153849107
1e42b3c6-e824-45af-8bf5-ec7671b5349d,10939631
1e42b3c6-e824-45af-8bf5-ec7671b5349d,13288046
1e42b3c6-e824-45af-8bf5-ec7671b5349d,1728262
b41db3cc-2236-47d2-92d2-29fef3495e3d,49170958
b41db3cc-2236-47d2-92d2-29fef3495e3d,2155759677
b41db3cc-2236-47d2-92d2-29fef3495e3d,2996101
fd59e55c-3b95-4d06-b9ff-624a238a60b1,2242129
fd59e55c-3b95-4d06-b9ff-624a238a60b1,145688317
fd59e55c-3b95-4d06-b9ff-624a238a60b1,1695958
fd59e55c-3b95-4d06-b9ff-624a238a60b1,2996101
fd59e55c-3b95-4d06-b9ff-624a238a60b1,152169856
e7b7c0d5-dbbd-4dd5-a926-dc9c4afdb0e3,116853525
e7b7c0d5-dbbd-4dd5-a926-dc9c4afdb0e3,2057134706
e7b7c0d5-dbbd-4dd5-a926-dc9c4afdb0e3,144656316
e7b7c0d5-dbbd-4dd5-a926-dc9c4afdb0e3,2872282
241e5601-4c48-42b9-a77a-3609ee39a416,145508283
241e5601-4c48-42b9-a77a-3609ee39a416,46182701
241e5601-4c48-42b9-a77a-3609ee39a416,118187689
d37bcb6c-76fc-49b5-86f1-b9d011bdd75a,9192419
d37bcb6c-76fc-49b5-86f1-b9d011bdd75a,145688317
d37bcb6c-76fc-49b5-86f1-b9d011bdd75a,73773430
af164037-dd4e-45a9-b90d-2dc4910efdd6,1709901
af164037-dd4e-45a9-b90d-2dc4910efdd6,32015343
af164037-dd4e-45a9-b90d-2dc4910efdd6,3044274
9a42e00c-bd43-4d40-a81f-762e4adefd8f,2487706
9a42e00c-bd43-4d40-a81f-762e4adefd8f,2109247625
9a42e00c-bd43-4d40-a81f-762e4adefd8f,2057134706
9a42e00c-bd43-4d40-a81f-762e4adefd8f,40329126
9a42e00c-bd43-4d40-a81f-762e4adefd8f,2996101
9378dc99-ae14-4b36-be18-17090f1765e5,1716140
9378dc99-ae14-4b36-be18-17090f1765e5,90578406
9378dc99-ae14-4b36-be18-17090f1765e5,145688317
e9ce46d2-73ee-4a3e-a3b8-f1eeb02346b4,2119657963
e9ce46d2-73ee-4a3e-a3b8-f1eeb02346b4,116853525
e9ce46d2-73ee-4a3e-a3b8-f1eeb02346b4,1700114
e9ce46d2-73ee-4a3e-a3b8-f1eeb02346b4,5371772
e9ce46d2-73ee-4a3e-a3b8-f1eeb02346b4,73771362
94b24dd5-7617-4a2f-82f1-d6cd95f862eb,73774023
94b24dd5-7617-4a2f-82f1-d6cd95f862eb,2115772042
94b24dd5-7617-4a2f-82f1-d6cd95f862eb,2328680
8533a9ca-c280-4adf-bf93-835b1fe3713e,4713365
8533a9ca-c280-4adf-bf93-835b1fe3713e,2242129
8533a9ca-c280-4adf-bf93-835b1fe3713e,144395551
d0ed8a56-96fe-4e84-b181-467f2341ecab,2119900968
d0ed8a56-96fe-4e84-b181-467f2341ecab,151030607
d0ed8a56-96fe-4e84-b181-467f2341ecab,2155384519
